degree,count
456,18
6727,5
743,9
2047,2
436,7
397,13
107,40
264,22
483,7
370,12
179,19
1393,7
12792,4
592,11
2148,1
269,22
44,31
404,15
30,37
481,6
257,16
549,9
182,12
772,5
387,8
502,6
757,9
599,8
106,42
4785,2
5616,3
2712,2
195,26
133,17
1523,3
125,21
87,32
359,6
52,30
368,14
300,10
213,28
27,37
258,19
2459,3
302,7
927,14
570,10
50,25
790,4
350,12
5087,1
44220,2
318,14
352,5
700,11
200,26
70,29
292,8
232,8
215,23
235,22
222,16
28,36
214,19
1251,1
237,22
112,32
212,11
54,28
730,7
170,14
238,34
117,23
243,14
328,13
5404,4
85,24
26205,1
933,3
234,16
11,42
12,20
822,3
127,25
53,41
385,15
142,22
285,17
261,17
103,20
59,33
164,18
1037,7
19,39
1699,2
2936,1
75,29
193,22
156,21
2542,1
39576,1
1096,5
386,9
173,12
2685,1
453,11
260,17
8,40
458,11
593,9
130,49
1695,1
7,35
93,25
415,11
321,13
1730,1
102,27
56,42
600,8
2166,3
787,8
239,32
1965,4
181,24
255,18
289,16
8632,4
66,34
298,28
617,3
129,30
252,12
161,17
684,7
109,34
978,11
137,31
1416,2
1517,1
1047,3
1612,8
134,21
113,31
1816,1
574,5
283,11
627,6
1726,2
262,11
73,16
440,11
517,8
865,5
186976,4
777,1
26206,1
412,10
1187,17
9,26
337,9
992,4
305,11
166,21
668,7
504,9
151,22
40,34
37,40
132,31
2007,1
411,16
497,12
95,23
319,10
187,14
926,16
42390,2
20769,1
205,10
1660,2
140,22
174,20
1095,7
265,21
47,28
126,14
128,19
1119,1
12798,4
471,5
2081,6
82,24
136,18
217,18
32,25
2203,1
23,40
79,35
403,8
33,44
22,31
3486,1
729,3
218,23
206,19
1114,4
225,16
10509,1
60,26
1351,4
1464,3
578,8
491,8
2160,2
139,22
4,37
1807,1
268,10
993,2
17192,1
2834,2
676,7
847,3
367,11
1453,1
610,4
398,12
154,23
366,12
329,11
248,12
8104,1
20,33
323,9
1241,5
178,20
896,2
211,19
964,8
251,19
86,26
2308,3
2814,2
197,28
835,1
1409,6
505,6
1121,3
31,40
711,9
4830,1
2360,2
210,12
2037,1
428,9
3162,1
454,10
311,12
153,34
1052,3
1939,1
229,23
0,36
1040,2
25,39
207,13
108,33
416,21
705,4
88,27
605,6
1004,4
49,26
1229,4
68,29
2777,1
375,17
1444,1
557,13
26,32
438,8
1197,3
10310,2
41,31
607,7
1219,4
476,15
973,3
155,15
116,15
96,23
529,8
470,6
1295,3
3282,2
1758,1
739,5
1681,3
718,3
78,27
114,24
123,35
42392,1
263,15
362,9
296,16
560,4
119,18
77,30
934,2
963,4
1478,4
723,4
6,37
115,28
29,33
2106,2
333,7
542,14
147,18
784,3
859,5
71,19
524,3
389,11
819,3
275,16
4950,3
270,18
58,33
138,24
89,21
667,5
3715,1
5,34
3943,1
1542,1
479,5
1184,2
81,18
1149,3
530,6
2664,4
162,36
221,16
930,4
2,32
309,8
272,9
97,29
100,32
767,7
919,4
799,5
16,44
951,5
158,16
35,38
348,8
325,11
732,6
3970,2
893,1
61,33
80,16
55,33
141,14
17,40
227,21
74,29
254,9
36131,1
180,17
395,9
902,5
3,36
10,31
1630,3
513,5
38,30
