count,degree
8285,1
1168,2
 372,3
 179,4
  50,5
  51,6
  24,7
  23,8
  21,9
   6,10
  10,11
   5,12
   8,13
   5,14
   4,15
   4,16
   3,18
   3,19
   1,20
   3,21
   4,24
   2,25
   3,26
   3,27
   3,28
   5,29
   1,30
   2,31
   1,32
   1,33
   1,36
   1,38
   2,39
   1,40
   1,41
   1,42
   1,45
   2,46
   1,47
   2,48
   1,49
   1,50
   2,56
   1,59
   1,60
   1,61
   1,64
   2,65
   2,66
   1,69
   1,80
   1,83
   1,92
   1,99
   1,102
   1,104
   1,109
   1,112
   1,115
   1,117
   1,127
   1,130
   1,132
   2,140
   1,155
   1,156
   1,163
   1,167
   1,171
   1,174
   1,209
   1,220
   1,222
   1,228
   1,229
   1,235
   1,273
   1,315
   1,342
   1,451
   1,707
   1,1697
