Source, Target
881212879361519616  , 4352202861  
1561323888  , 1561323888  
958860911611068416  , 56304179  
1191559496147095557  , 162816489  
3931242563  , 1221509394048987138  
3931242563  , 104110762  
3931242563  , 833948168  
1189887746690695168  , 1167905865170661376  
1006198505470349312  , 1077970544815992838  
1160612024566652933  , 988910681784311808  
1043280972525973504  , 3931242563  
3931242563  , 995831804459270144  
1062714519552778241  , 925021498472988672  
3931242563  , 2997958590  
3931242563  , 1126068412046819328  
3931242563  , 802757873562361856  
1237175916951822336  , 3931242563  
806736239319654403  , 841863472073830400  
3931242563  , 1561323888  
1006198505470349312  , 1064682643869114369  
3931242563  , 802757873562361856  
1191559496147095557  , 3931242563  
1146312450846928897  , 802757873562361856  
881212879361519616  , 3407167749  
1146312450846928897  , 841863472073830400  
3931242563  , 1102034758429757440  
958860911611068416  , 820677678344847360  
1160612024566652933  , 1044326831023943687  
1160612024566652933  , 746660336154058753  
3931242563  , 746660336154058753  
958860911611068416  , 999785380072177664  
1160612024566652933  , 1081491020364300289  
1160612024566652933  , 753710560429039617  
817705604965928960  , 1167905865170661376  
20119578  , 263188025  
1160612024566652933  , 1102034758429757440  
20119578  , 1142052996743700482  
1146312450846928897  , 56304179  
3931242563  , 1142052996743700482  
3931242563  , 26609422  
806736239319654403  , 954413460636553216  
806736239319654403  , 1230400783109251072  
1160612024566652933  , 132041957  
1006198505470349312  , 558634078  
1160612024566652933  , 918295628911915008  
3931242563  , 1136009215066202112  
3931242563  , 1065740212389797889  
1160612024566652933  , 1251902182393368576  
1006198505470349312  , 2982175340  
881212879361519616  , 1092955727214215173  
1160612024566652933  , 994891329825107970  
3931242563  , 1006198505470349312  
1006198505470349312  , 1120441187670867969  
20119578  , 1081491020364300289  
3931242563  , 967589986282356736  
738087901100048385  , 1191317269558824966  
956111036716793856  , 1167905865170661376  
1160612024566652933  , 1122220091247079424  
1114566571601489921  , 3931242563  
3931242563  , 960607323457810432  
1160612024566652933  , 4262077017  
1006198505470349312  , 895368804745830400  
3931242563  , 1026499566747541504  
3931242563  , 954413460636553216  
3931242563  , 895368804745830400  
3931242563  , 1063156679221633027  
1160612024566652933  , 908049637168308224  
176762428  , 1167905865170661376  
3931242563  , 988588647845949440  
3931242563  , 1169791486944169984  
3931242563  , 1037083040735010817  
1061770427658231808  , 1167905865170661376  
1160612024566652933  , 1129768615337758720  
3931242563  , 963019504455335937  
1146312450846928897  , 263188025  
1160612024566652933  , 932734800657608704  
1160612024566652933  , 26609422  
1006198505470349312  , 1151799941649485825  
3931242563  , 939641709448675328  
1146312450846928897  , 1014867418940919809  
1006198505470349312  , 954413460636553216  
1160612024566652933  , 860308179716014086  
2988409440  , 699424729338376192  
1146555342286938122  , 1237669107006242816  
1146555342286938122  , 1072985528767791104  
1146555342286938122  , 3185161170  
1006198505470349312  , 818917797199839233  
1062714519552778241  , 1040724170953252864  
1146555342286938122  , 203932978  
992923960877568000  , 1120009372137066496  
1146555342286938122  , 1267112929809305604  
1146555342286938122  , 1011056726475530241  
1146555342286938122  , 868849135897780225  
1006198505470349312  , 944711672245170178  
3931242563  , 1072985528767791104  
2988409440  , 1077927714785513472  
2988409440  , 2997958590  
3931242563  , 797985709277614080  
3931242563  , 944711672245170178  
3931242563  , 1153283418693615616  
3931242563  , 1072985528767791104  
1043280972525973504  , 1138090777932902401  
1160612024566652933  , 812013218583506944  
963065672  , 1118839010871345154  
1146555342286938122  , 2889235098  
1146555342286938122  , 3372639833  
963395480  , 1040724170953252864  
20119578  , 1561323888  
1146555342286938122  , 841211030562725890  
1146555342286938122  , 537652294  
1146555342286938122  , 123358870  
1006198505470349312  , 1264311480775774214  
963065672  , 722999332027260928  
2988409440  , 2889235098  
1146555342286938122  , 372029979  
