Id,Label,timeset,modularity_class,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,eigencentrality,nodecolor-multimode,Authority,Hub
881212879361519616,881212879361519616,,10,0,19,0,19,19,0,19,19,1,1,1,0,0,0,red,0,0.000651
4352202861,4352202861,,10,0,18,1,0,1,1,0,1,0,0,0,0,0,0.009818,blue,0.000016,0
1561323888,1561323888,,10,0,20,4,1,5,4,1,5,0,0,0,0,0.25,1,blue,0.000117,0
958860911611068416,958860911611068416,,10,0,80,0,46,46,0,46,46,2,0.819444,0.889831,0,0,0,red,0,0.002607
56304179,56304179,,10,0,79,2,1,3,2,1,3,1,1,1,2,0,0.019637,blue,0.000063,0.000001
1191559496147095557,1191559496147095557,,0,0,316,0,3,3,0,3,3,4,0.404007,0.425275,0,0,0,blue,0,0.000001
162816489,162816489,,0,0,315,1,0,1,1,0,1,0,0,0,0,0,0.009818,red,0,0
3931242563,3931242563,,10,0,314,5,122,127,5,136,141,3,0.669468,0.754533,1195,0.0005,0.049092,red,0,0.003468
1221509394048987138,1221509394048987138,,10,0,313,1,0,1,1,0,1,0,0,0,0,0,0.120139,blue,0.000084,0
104110762,104110762,,10,0,312,1,0,1,1,0,1,0,0,0,0,0,0.120139,blue,0.000084,0
833948168,833948168,,10,0,311,1,0,1,1,0,1,0,0,0,0,0,0.120139,blue,0.000084,0
1189887746690695168,1189887746690695168,,3,0,318,0,1,1,0,1,1,1,1,1,0,0,0,red,0,0.000589
1167905865170661376,1167905865170661376,,3,0,317,6,0,6,6,0,6,0,0,0,0,0.033333,0.171626,blue,0.024271,0
1006198505470349312,1006198505470349312,,10,0,301,3,106,109,4,107,111,2,0.990741,0.995327,802,0.000849,0.139776,blue,0.000118,0.007892
1077970544815992838,1077970544815992838,,10,0,300,1,0,1,1,0,1,0,0,0,0,0,0.198306,red,0.000191,0
1160612024566652933,1160612024566652933,,16,0,359,1,41,42,1,41,42,2,0.918367,0.955556,45,0,0.009818,red,0,0.001318
988910681784311808,988910681784311808,,39,0,358,1,3,4,1,3,4,1,1,1,6,0,0.031882,blue,0.000032,0.000009
1043280972525973504,1043280972525973504,,10,0,364,0,4,4,0,4,4,4,0.405629,0.428231,0,0,0,blue,0,0.000001
995831804459270144,995831804459270144,,10,0,310,1,0,1,1,0,1,0,0,0,0,0,0.120139,blue,0.000084,0
1062714519552778241,1062714519552778241,,16,0,369,0,4,4,0,4,4,1,1,1,0,0,0,red,0,0.00001
925021498472988672,925021498472988672,,16,0,368,1,0,1,1,0,1,0,0,0,0,0,0.009818,blue,0,0
2997958590,2997958590,,10,0,309,6,0,6,6,0,6,0,0,0,0,0,0.262277,blue,0.000702,0
1126068412046819328,1126068412046819328,,10,0,308,1,0,1,1,0,1,0,0,0,0,0,0.120139,blue,0.000084,0
802757873562361856,802757873562361856,,10,0,7,5,0,5,6,0,6,0,0,0,0,0,0.159412,blue,0.0001,0
1237175916951822336,1237175916951822336,,10,0,370,0,1,1,0,1,1,4,0.40201,0.420486,0,0,0,blue,0,0
806736239319654403,806736239319654403,,10,0,373,0,4,4,0,4,4,1,1,1,0,0,0,red,0,0.000007
841863472073830400,841863472073830400,,10,0,372,2,0,2,2,0,2,0,0,0,0,0,0.019637,blue,0,0
1064682643869114369,1064682643869114369,,10,0,299,2,0,2,2,0,2,0,0,0,0,0,0.208125,red,0.000191,0
1146312450846928897,1146312450846928897,,10,0,376,0,5,5,0,5,5,2,0.857143,0.916667,0,0,0,red,0,0.00001
3407167749,3407167749,,10,0,17,2,0,2,2,0,2,0,0,0,0,0,0.041701,blue,0.024216,0
1102034758429757440,1102034758429757440,,16,0,307,2,0,2,2,0,2,0,0,0,0,0,0.152021,blue,0.000116,0
820677678344847360,820677678344847360,,10,0,77,1,0,1,1,0,1,0,0,0,0,0,0.009818,blue,0.000063,0
1044326831023943687,1044326831023943687,,16,0,354,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.000032,0
746660336154058753,746660336154058753,,16,0,306,2,0,2,2,0,2,0,0,0,0,0,0.152021,blue,0.000116,0
999785380072177664,999785380072177664,,10,0,76,1,1,2,1,1,2,1,1,1,1,0,0.009818,blue,0.000063,0
1081491020364300289,1081491020364300289,,10,0,353,2,0,2,2,0,2,0,0,0,0,0,0.085829,blue,0.000033,0
753710560429039617,753710560429039617,,16,0,352,1,0,1,1,0,1,0,0,0,0,0,0.031882,blue,0.000032,0
817705604965928960,817705604965928960,,3,0,377,0,1,1,0,1,1,1,1,1,0,0,0,red,0,0.000589
