Source, Target, Date Start
1146555342286938122, 3375983819,07-06-20 23:59:59
15825051, 984869442864730117,07-06-20 23:59:59
1146555342286938122, 4169319733,07-06-20 23:59:58
1146555342286938122, 1033700467795283968,07-06-20 23:59:58
850935033766522880, 1091518510826696704,07-06-20 23:59:58
1049739708081803269, 1114262614891204610,07-06-20 23:59:58
33032283, 496936816,07-06-20 23:59:57
1146555342286938122, 1232783803245948928,07-06-20 23:59:57
1146555342286938122, 1032412909404475392,07-06-20 23:59:56
1146555342286938122, 1076888484810375168,07-06-20 23:59:56
15825051, 811727799564189696,07-06-20 23:59:56
907034217636343809, 997935797432184832,07-06-20 23:59:56
107072215, 3154700334,07-06-20 23:59:56
879151026833506304, 1018845066415263745,07-06-20 23:59:55
1206862388022173697, 1146521187566178304,07-06-20 23:59:55
16411682, 886592562273890304,07-06-20 23:59:54
864525927438536707, 1234465944472129537,07-06-20 23:59:54
806179924407107585, 1232843472119500800,07-06-20 23:59:54
1146555342286938122, 30197217,07-06-20 23:59:54
101331688, 1225896360609751040,07-06-20 23:59:54
1085237795231215617, 841653235769196544,07-06-20 23:59:54
1115646221710811136, 406757866,07-06-20 23:59:54
832449845461925888, 1156774103027785729,07-06-20 23:59:54
329221989, 496936816,07-06-20 23:59:53
879151026833506304, 1113952904308772864,07-06-20 23:59:52
832449845461925888, 1142896204235362306,07-06-20 23:59:52
879151026833506304, 1162203725001195522,07-06-20 23:59:51
1268466951707217921, 3028560843,07-06-20 23:59:50
879151026833506304, 1113837843317706753,07-06-20 23:59:50
1146555342286938122, 1260451477203693568,07-06-20 23:59:49
446736941, 780035801677606912,07-06-20 23:59:49
850935033766522880, 1103678507459198976,07-06-20 23:59:49
1146555342286938122, 4892986363,07-06-20 23:59:49
1213648493446717440, 31053116,07-06-20 23:59:49
972611390757310464, 1267507213930827778,07-06-20 23:59:49
879151026833506304, 158151301,07-06-20 23:59:49
879151026833506304, 973149129718169600,07-06-20 23:59:49
879151026833506304, 338119472,07-06-20 23:59:48
1146555342286938122, 947386771238735873,07-06-20 23:59:48
15825051, 835304821699698688,07-06-20 23:59:48
1070126918404517888, 784153183761342464,07-06-20 23:59:48
1146555342286938122, 953477619525144577,07-06-20 23:59:47
1672241426, 974760561572569089,07-06-20 23:59:47
1146555342286938122, 1020693626597400576,07-06-20 23:59:47
1146555342286938122, 919240687287177217,07-06-20 23:59:47
879151026833506304, 1094730350050402305,07-06-20 23:59:47
189019268, 29976594,07-06-20 23:59:47
936794631756333058, 1044007864812081153,07-06-20 23:59:47
1146555342286938122, 842323902437117956,07-06-20 23:59:46
879151026833506304, 791902211966013440,07-06-20 23:59:46
879151026833506304, 1138746514245918721,07-06-20 23:59:46
1264587696913084421, 756292347072094209,07-06-20 23:59:46
879151026833506304, 3229996262,07-06-20 23:59:46
1146555342286938122, 1254960302753488898,07-06-20 23:59:45
15825051, 1056417483085643776,07-06-20 23:59:44
850935033766522880, 859345158986268672,07-06-20 23:59:44
276494998, 1266596595304263680,07-06-20 23:59:44
1213648493446717440, 865432433046372353,07-06-20 23:59:43
1146555342286938122, 1109671823678074881,07-06-20 23:59:43
1146555342286938122, 927444676671500289,07-06-20 23:59:43
1146555342286938122, 1197889508106219526,07-06-20 23:59:43
15825051, 1588821385,07-06-20 23:59:42
15825051, 817198695288569857,07-06-20 23:59:42
