_id,user,bio,bio_tokens,class
5fc12204fd802e608f9844e3,4352202861," """"sugar & spice""""","[""sugar"",""spice""]",False
5fc12204fd802e608f9844e4,1561323888," """"i miss @bts_twt #blacklivesmatter #blm""""","[""i"",""miss"",""bts_twt"",""blacklivesmatter"",""blm""]",True
5fc12204fd802e608f9844e5,56304179," """"2014. the genre is bts. yoonmin visual.""""","[""2014"",""the"",""genre"",""is"",""bts"",""yoonmin"",""visual""]",True
5fc12204fd802e608f9844e6,162816489," """"whip and neigh neigh  lesbian for goro majima and kazuma kiryu (she/her/they  blm  nsfw 18+)""""","[""whip"",""and"",""neigh"",""neigh"",""lesbian"",""for"",""goro"",""majima"",""and"",""kazuma"",""kiryu"",""she"",""her"",""they"",""blm"",""nsfw"",""18""]",False
5fc12204fd802e608f9844e7,1221509394048987138," """"\""""i look forward to the day you will stand and tell us your own story\"""" fan account","[""i"",""look"",""forward"",""to"",""the"",""day"",""you"",""will"",""stand"",""and"",""tell"",""us"",""your"",""own"",""story"",""fan"",""account""]",False
5fc12204fd802e608f9844e8,104110762," """"bts ot7 / fr-eng - - she/her -\ni grew a flower that can't be bloomed in a dream that can't come true""""","[""bts"",""ot7"",""fr"",""eng"",""she"",""her"",""ni"",""grew"",""a"",""flower"",""that"",""can"",""t"",""be"",""bloomed"",""in"",""a"",""dream"",""that"",""can"",""t"",""come"",""true""]",True
5fc12204fd802e608f9844e9,833948168," """"cats  coffee  witch   purpleblood  manti/solophobic\n\n\u00b0\u00b0 no pronoun pref / all pronouns gray-ace\n\n\n\u263c\u264d\ufe0e/\u263d\u2648\ufe0e/\u2191\u264e\ufe0e""""","[""cats"",""coffee"",""witch"",""purpleblood"",""manti"",""solophobic"",""n"",""n"",""u00b0"",""u00b0"",""no"",""pronoun"",""pref"",""all"",""pronouns"",""gray"",""ace"",""n"",""n"",""n"",""u263c"",""u264d"",""ufe0e"",""u263d"",""u2648"",""ufe0e"",""u2191"",""u264e"",""ufe0e""]",False
5fc12204fd802e608f9844ea,1167905865170661376," """"@bts_twt fan account""""","[""bts_twt"",""fan"",""account""]",True
5fc12204fd802e608f9844eb,1077970544815992838," """"#blacklivesmatter.","[""blacklivesmatter""]",False
5fc12204fd802e608f9844ec,988910681784311808," """"|fan account|\nhere for @bts_twt  but tweet about other stuff too sometimes. #\uc544\ud3ec\ubc29\ud3ec \n\ndynamite out now! listen here: https://orcd.co/bts-dynamite""""","[""fan"",""account"",""nhere"",""for"",""bts_twt"",""but"",""tweet"",""about"",""other"",""stuff"",""too"",""sometimes"",""uc544"",""ud3ec"",""ubc29"",""ud3ec"",""n"",""ndynamite"",""out"",""now"",""listen"",""here"",""https"",""orcd"",""co"",""bts"",""dynamite""]",True
5fc12204fd802e608f9844ed,3931242563," """"21 .\n\nshe/her\u2640\ufe0f .\n\nnigerian .\n\npsychology with criminology graduate .\n\nfan + personal account .\n\nbts enthusiast .\n\n1/2 of @studio_090713 .\n\ncall me adaeze""""","[""21"",""n"",""nshe"",""her"",""u2640"",""ufe0f"",""n"",""nnigerian"",""n"",""npsychology"",""with"",""criminology"",""graduate"",""n"",""nfan"",""personal"",""account"",""n"",""nbts"",""enthusiast"",""n"",""n1"",""2"",""of"",""studio_090713"",""n"",""ncall"",""me"",""adaeze""]",False
5fc12204fd802e608f9844ee,995831804459270144," """"she/her (or whatever i could be a rat if you wanted)\n\nlgbtq+ positive space/ any and all hate =blocked\n\n#blacklivesmatter oiaa donation cardd link in bio""""","[""she"",""her"",""or"",""whatever"",""i"",""could"",""be"",""a"",""rat"",""if"",""you"",""wanted"",""n"",""nlgbtq"",""positive"",""space"",""any"",""and"",""all"",""hate"",""blocked"",""n"",""n"",""blacklivesmatter"",""oiaa"",""donation"",""cardd"",""link"",""in"",""bio""]",False
5fc12204fd802e608f9844ef,925021498472988672," """"selenophile\ud83c\udf19 | i do believe in your galaxy\ud83d\udcab\ud83d\udc9c #bts @bts_twt""""","[""selenophile"",""ud83c"",""udf19"",""i"",""do"",""believe"",""in"",""your"",""galaxy"",""ud83d"",""udcab"",""ud83d"",""udc9c"",""bts"",""bts_twt""]",True
5fc12204fd802e608f9844f0,2997958590," """"if our existence  music  stage  photos  vids.. if your pain is 100  if we can lessen that to 99 98 97.. with that the value of our existence is enough -@bts_twt""""","[""if"",""our"",""existence"",""music"",""stage"",""photos"",""vids"",""if"",""your"",""pain"",""is"",""100"",""if"",""we"",""can"",""lessen"",""that"",""to"",""99"",""98"",""97"",""with"",""that"",""the"",""value"",""of"",""our"",""existence"",""is"",""enough"",""bts_twt""]",True
5fc12204fd802e608f9844f1,1126068412046819328," """"#bts fan acc | 20yo | she/here | min yoongi took my heart already""""","[""bts"",""fan"",""acc"",""20yo"",""she"",""here"",""min"",""yoongi"",""took"",""my"",""heart"",""already""]",True
5fc12204fd802e608f9844f2,802757873562361856," """"#\ud835\udc18\ud835\udc0e\ud835\udc0e\ud835\udc0d\ud835\udc06\ud835\udc08 : (she/her)""""","[""ud835"",""udc18"",""ud835"",""udc0e"",""ud835"",""udc0e"",""ud835"",""udc0d"",""ud835"",""udc06"",""ud835"",""udc08"",""she"",""her""]",False
5fc12204fd802e608f9844f3,3931242563," """"21 .\n\nshe/her\u2640\ufe0f .\n\nnigerian .\n\npsychology with criminology graduate .\n\nfan + personal account .\n\nbts enthusiast .\n\n1/2 of @studio_090713 .\n\ncall me adaeze""""","[""21"",""n"",""nshe"",""her"",""u2640"",""ufe0f"",""n"",""nnigerian"",""n"",""npsychology"",""with"",""criminology"",""graduate"",""n"",""nfan"",""personal"",""account"",""n"",""nbts"",""enthusiast"",""n"",""n1"",""2"",""of"",""studio_090713"",""n"",""ncall"",""me"",""adaeze""]",False
5fc12204fd802e608f9844f4,841863472073830400," """"safe space for my interests | future doctor black girl magic lover since forever | bts army: est. oct. 2019 txt moa: est. oct. 2019""""","[""safe"",""space"",""for"",""my"",""interests"",""future"",""doctor"",""black"",""girl"",""magic"",""lover"",""since"",""forever"",""bts"",""army"",""est"",""oct"",""2019"",""txt"",""moa"",""est"",""oct"",""2019""]",True
5fc12204fd802e608f9844f5,1561323888," """"i miss @bts_twt #blacklivesmatter #blm""""","[""i"",""miss"",""bts_twt"",""blacklivesmatter"",""blm""]",True
5fc12204fd802e608f9844f6,1064682643869114369," """"~ 23 ~ she/her/siya ~ ~ fan account for ot7 bts ~""""","[""23"",""she"",""her"",""siya"",""fan"",""account"",""for"",""ot7"",""bts""]",True
5fc12204fd802e608f9844f7,802757873562361856," """"#\ud835\udc18\ud835\udc0e\ud835\udc0e\ud835\udc0d\ud835\udc06\ud835\udc08 : (she/her)""""","[""ud835"",""udc18"",""ud835"",""udc0e"",""ud835"",""udc0e"",""ud835"",""udc0d"",""ud835"",""udc06"",""ud835"",""udc08"",""she"",""her""]",False
5fc12204fd802e608f9844f8,3931242563," """"21 .\n\nshe/her\u2640\ufe0f .\n\nnigerian .\n\npsychology with criminology graduate .\n\nfan + personal account .\n\nbts enthusiast .\n\n1/2 of @studio_090713 .\n\ncall me adaeze""""","[""21"",""n"",""nshe"",""her"",""u2640"",""ufe0f"",""n"",""nnigerian"",""n"",""npsychology"",""with"",""criminology"",""graduate"",""n"",""nfan"",""personal"",""account"",""n"",""nbts"",""enthusiast"",""n"",""n1"",""2"",""of"",""studio_090713"",""n"",""ncall"",""me"",""adaeze""]",False
