"","V1","V2"
"1","1","568"
"2","2","569"
"3","2","570"
"4","2","571"
"5","2","572"
"6","2","573"
"7","2","574"
"8","3","2"
"9","2","575"
"10","2","576"
"11","4","577"
"12","2","578"
"13","2","6"
"14","2","579"
"15","2","580"
"16","2","581"
"17","2","582"
"18","5","583"
"19","2","584"
"20","2","585"
"21","2","586"
"22","2","587"
"23","2","588"
"24","2","589"
"25","2","590"
"26","6","591"
"27","2","592"
"28","2","593"
"29","2","594"
"30","2","595"
"31","2","596"
"32","2","597"
"33","2","598"
"34","2","599"
"35","2","600"
"36","2","601"
"37","7","602"
"38","2","46"
"39","2","603"
"40","2","604"
"41","2","605"
"42","2","606"
"43","2","607"
"44","8","608"
"45","9","609"
"46","10","610"
"47","2","611"
"48","2","612"
"49","2","613"
"50","2","614"
"51","2","615"
"52","2","616"
"53","11","607"
"54","12","617"
"55","2","618"
"56","2","619"
"57","2","620"
"58","13","621"
"59","14","622"
"60","2","623"
"61","2","624"
"62","2","625"
"63","2","626"
"64","2","627"
"65","2","628"
"66","2","127"
"67","2","75"
"68","2","629"
"69","2","630"
"70","2","631"
"71","2","632"
"72","2","633"
"73","2","634"
"74","2","635"
"75","2","636"
"76","2","637"
"77","2","638"
"78","5","639"
"79","2","640"
"80","2","641"
"81","15","642"
"82","16","643"
"83","2","644"
"84","5","645"
"85","2","646"
"86","2","647"
"87","2","648"
"88","2","649"
"89","17","650"
"90","2","651"
"91","2","652"
"92","2","653"
"93","2","654"
"94","2","655"
"95","2","656"
"96","1","2"
"97","18","657"
"98","2","658"
"99","2","659"
"100","2","660"
"101","19","661"
"102","2","662"
"103","2","663"
"104","2","664"
"105","2","665"
"106","2","666"
"107","2","667"
"108","2","668"
"109","2","669"
"110","2","670"
"111","2","671"
"112","2","672"
"113","16","673"
"114","2","674"
"115","2","675"
"116","20","676"
"117","2","677"
"118","2","678"
"119","2","679"
"120","2","680"
"121","2","681"
"122","21","682"
"123","2","683"
"124","22","684"
"125","2","685"
"126","2","686"
"127","16","687"
"128","2","688"
"129","2","689"
"130","2","690"
"131","1","691"
"132","2","692"
"133","2","693"
"134","2","53"
"135","2","694"
"136","2","695"
"137","2","696"
"138","2","697"
"139","2","66"
"140","23","698"
"141","2","699"
"142","2","700"
"143","2","701"
"144","2","702"
"145","2","703"
"146","24","704"
"147","2","705"
"148","2","706"
"149","2","707"
"150","2","708"
"151","2","409"
"152","2","709"
"153","2","710"
"154","2","711"
"155","6","578"
"156","2","712"
"157","2","713"
"158","2","38"
"159","25","714"
"160","2","715"
"161","26","716"
"162","2","717"
"163","2","718"
"164","2","719"
"165","27","2"
"166","2","720"
"167","4","721"
"168","2","722"
"169","28","723"
"170","29","724"
"171","2","725"
"172","2","726"
"173","2","727"
"174","2","728"
"175","2","729"
"176","2","730"
"177","2","731"
"178","2","398"
"179","2","732"
"180","2","733"
"181","15","734"
