,V1
1,1
2,4216
3,8246
4,
5,2
6,3
7,4
8,5
9,6
10,8
11,9
12,10
13,12
14,13
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,23
23,24
24,25
25,26
26,27
27,28
28,30
29,34
30,37
31,40
32,41
33,42
34,43
35,46
36,48
37,50
38,52
39,53
40,56
41,58
42,59
43,60
44,62
45,63
46,65
47,66
48,67
49,68
50,70
51,72
52,76
53,77
54,78
55,79
56,80
57,81
58,82
59,83
60,84
61,85
62,89
63,90
64,94
65,96
66,98
67,101
68,102
69,104
70,105
71,107
72,108
73,110
74,111
75,112
76,113
77,115
78,116
79,120
80,123
81,124
82,126
83,127
84,129
85,131
86,133
87,134
88,136
89,139
90,140
91,141
92,143
93,146
94,150
95,154
96,158
97,159
98,160
99,161
100,163
101,168
102,169
103,170
104,171
105,173
106,177
107,179
108,190
109,194
110,195
111,204
112,210
113,211
114,215
115,221
116,234
117,248
118,249
119,255
120,256
121,257
122,264
123,265
124,268
125,270
126,271
127,276
128,279
129,290
130,291
131,295
132,298
133,307
134,311
135,321
136,326
137,333
138,342
139,357
140,364
141,372
142,388
143,394
144,398
145,412
146,418
147,421
148,428
149,436
150,438
151,465
152,471
153,475
154,479
155,496
156,499
157,509
158,512
159,515
160,516
161,521
162,522
163,526
164,528
165,534
166,540
167,546
168,549
169,553
170,558
171,567
172,576
173,585
174,586
175,588
176,589
177,594
178,595
179,597
180,600
181,605
182,606
183,613
184,615
185,616
186,624
187,626
188,627
189,628
190,632
191,636
192,637
193,639
194,642
195,646
196,650
197,651
198,652
199,653
200,654
201,657
202,659
203,661
204,662
205,665
206,666
207,668
208,670
209,671
210,675
211,676
212,677
213,678
214,679
215,681
216,682
217,684
218,687
219,693
220,697
221,698
222,699
223,701
224,704
225,706
226,707
227,709
228,715
229,716
230,717
231,718
232,719
233,720
234,721
235,723
236,724
237,725
238,726
239,728
240,733
241,735
242,736
243,743
244,744
245,745
246,747
247,748
248,750
249,756
250,758
251,760
252,761
253,765
254,766
255,772
256,775
257,776
258,777
259,779
260,781
261,784
262,785
263,786
264,788
265,789
266,792
267,793
268,795
269,798
270,799
271,800
272,802
273,803
274,805
275,806
276,807
277,808
278,809
279,810
280,812
281,813
282,815
283,817
284,818
285,821
286,824
287,826
288,827
289,828
290,829
291,831
292,832
293,833
294,836
295,837
296,838
297,842
298,848
299,849
300,850
301,853
302,854
303,855
304,858
305,860
306,863
307,865
308,866
309,868
310,874
311,875
312,876
313,877
314,879
315,880
316,882
317,883
318,884
319,885
320,887
321,888
322,889
323,891
324,895
325,896
326,898
327,899
328,900
329,901
330,903
331,904
332,906
333,907
334,908
335,909
336,912
337,913
338,914
339,915
340,916
341,917
342,919
343,920
344,921
345,923
346,924
347,925
348,926
349,928
350,929
351,931
352,935
353,937
354,940
355,941
356,942
357,943
358,944
359,946
360,947
361,949
362,951
363,953
364,954
365,955
366,958
367,961
368,962
369,963
370,964
371,965
372,967
373,968
374,969
375,970
376,971
377,972
378,973
379,974
380,976
381,977
382,978
383,979
384,980
385,982
386,983
387,985
388,986
389,988
390,989
391,991
392,994
393,999
394,1000
395,1008
396,1017
397,1018
398,1019
399,1031
400,1039
401,1040
402,1041
403,1044
404,1053
405,1063
406,1070
407,1083
408,1086
409,1093
410,1096
411,1102
412,1103
413,1104
414,1113
415,1115
416,1120
417,1127
418,1132
419,1135
420,1143
421,1158
422,1164
423,1168
424,1174
425,1180
426,1183
427,1184
428,1198
429,1202
430,1209
431,1217
432,1220
433,1225
434,1232
435,1243
436,1246
437,1247
438,1249
439,1257
440,1259
441,1264
442,1265
443,1266
444,1267
445,1275
446,1289
447,1290
448,1291
449,1295
450,1296
451,1301
452,1306
453,1308
454,1318
455,1320
456,1324
457,1334
458,1350
459,1352
460,1354
461,1356
462,1366
463,1367
464,1372
465,1373
466,1380
467,1390
468,1394
469,1396
470,1403
471,1410
472,1419
473,1423
474,1426
475,1428
476,1429
477,1432
478,1438
479,1444
480,1446
481,1455
482,1456
483,1459
484,1461
485,1465
486,1470
487,1477
488,1480
489,1484
490,1501
491,1507
492,1509
493,1514
494,1516
495,1526
496,1528
497,1530
498,1532
499,1543
500,1545
501,1548
502,1551
503,1555
504,1558
505,1560
506,1564
507,1570
508,1574
509,1579
510,1583
511,1591
512,1592
513,1597
514,1600
515,1605
516,1637
517,1639
518,1647
519,1648
520,1655
521,1669
522,1691
523,1700
524,1704
525,1719
526,1729
527,1731
528,1735
529,1749
530,1758
531,1763
532,1770
533,1791
534,1793
535,1797
536,1803
537,1809
538,1812
539,1820
540,1840
541,1841
542,1852
543,1854
544,1855
545,1862
546,1868
547,1890
548,1894
549,1896
550,1902
551,1918
552,1933
553,1934
554,1935
555,1941
556,1950
557,1953
558,1960
559,1962
560,1965
561,1981
562,1995
563,1997
564,2005
565,2014
566,2015
567,2018
568,2023
569,2037
570,2039
571,2056
572,2057
573,2060
574,2062
575,2092
576,2093
577,2094
578,2096
579,2099
580,2108
581,2111
582,2123
583,2137
584,2139
585,2140
586,2153
587,2174
588,2178
589,2197
590,2199
591,2203
592,2210
593,2213
594,2216
595,2221
596,2223
597,2234
598,2242
599,2245
600,2246
601,2253
602,2257
603,2263
604,2268
605,2277
606,2283
607,2284
608,2286
609,2293
610,2301
611,2302
612,2313
613,2318
614,2327
615,2356
616,2366
617,2368
618,2373
619,2377
620,2401
621,2402
622,2406
623,2407
624,2423
625,2429
626,2433
627,2444
628,2472
629,2482
630,2486
631,2488
632,2505
633,2509
634,2514
635,2515
636,2519
637,2522
638,2545
639,2548
640,2554
641,2561
642,2564
643,2586
644,2592
645,2596
646,2598
647,2600
648,2604
649,2618
